sample_id,source_attachment,source_file,source_sheet,source_row,sample_number_raw,material_raw,temperature,frequency,core_loss,waveform_label_raw,waveform_group_id,waveform_duplicate_count,exact_row_duplicate_count,cross_attachment_count,quality_flags
training-c16aee712bc0-S01-R000024,training,data/附件一（训练集）.xlsx,材料1,24,,材料1,25.0,56320.0,66762.87637,正弦波,wg-cca911d9d91699fd,1,1,1,
training-c16aee712bc0-S01-R000025,training,data/附件一（训练集）.xlsx,材料1,25,,材料1,25.0,56310.0,113796.1134,正弦波,wg-cb1059036cb34757,1,1,1,
training-c16aee712bc0-S01-R000026,training,data/附件一（训练集）.xlsx,材料1,26,,材料1,25.0,56310.0,148257.1129,正弦波,wg-65a0ba077c316992,1,1,1,
training-c16aee712bc0-S01-R000027,training,data/附件一（训练集）.xlsx,材料1,27,,材料1,25.0,56320.0,198685.0545,正弦波,wg-760d41f3b3585c1c,1,1,1,
training-c16aee712bc0-S01-R000028,training,data/附件一（训练集）.xlsx,材料1,28,,材料1,25.0,56320.0,255933.2678,正弦波,wg-edc457cff017054c,1,1,1,
training-c16aee712bc0-S01-R000029,training,data/附件一（训练集）.xlsx,材料1,29,,材料1,25.0,56320.0,331623.2171,正弦波,wg-8a029021aa873121,1,1,1,
training-c16aee712bc0-S01-R000030,training,data/附件一（训练集）.xlsx,材料1,30,,材料1,25.0,56320.0,416358.3168,正弦波,wg-b46e3254d588c283,1,1,1,
training-c16aee712bc0-S01-R000031,training,data/附件一（训练集）.xlsx,材料1,31,,材料1,25.0,56310.0,534557.2986,正弦波,wg-5feced5743a2b546,1,1,1,
training-c16aee712bc0-S01-R000032,training,data/附件一（训练集）.xlsx,材料1,32,,材料1,25.0,63010.0,1507.127686,正弦波,wg-4236bb2cd3fd8a85,1,1,1,
training-c16aee712bc0-S01-R000033,training,data/附件一（训练集）.xlsx,材料1,33,,材料1,25.0,63020.0,1987.49952,正弦波,wg-5f6b6d9c823867a5,1,1,1,
training-c16aee712bc0-S01-R000034,training,data/附件一（训练集）.xlsx,材料1,34,,材料1,25.0,63020.0,2690.828365,正弦波,wg-1ce3e54840923713,1,1,1,
training-c16aee712bc0-S01-R000035,training,data/附件一（训练集）.xlsx,材料1,35,,材料1,25.0,63020.0,4918.264521,正弦波,wg-2539c21f40f1b8a2,1,1,1,
training-c16aee712bc0-S01-R000036,training,data/附件一（训练集）.xlsx,材料1,36,,材料1,25.0,63020.0,6538.643558,正弦波,wg-c79b2aa8d52052e9,1,1,1,
training-c16aee712bc0-S01-R000037,training,data/附件一（训练集）.xlsx,材料1,37,,材料1,25.0,63020.0,11504.91656,正弦波,wg-89ec9bab0a497701,1,1,1,
training-c16aee712bc0-S01-R000038,training,data/附件一（训练集）.xlsx,材料1,38,,材料1,25.0,63020.0,14827.08294,正弦波,wg-9448611b0a74beaa,1,1,1,
training-c16aee712bc0-S01-R000039,training,data/附件一（训练集）.xlsx,材料1,39,,材料1,25.0,63020.0,19682.18168,正弦波,wg-0e8c54722308524a,1,1,1,
training-c16aee712bc0-S01-R000040,training,data/附件一（训练集）.xlsx,材料1,40,,材料1,25.0,63020.0,26015.31362,正弦波,wg-cc2a7ed2e91a7e59,1,1,1,
training-c16aee712bc0-S01-R000041,training,data/附件一（训练集）.xlsx,材料1,41,,材料1,25.0,63020.0,33431.1089,正弦波,wg-747e01e65e2783d2,1,1,1,
training-c16aee712bc0-S01-R000042,training,data/附件一（训练集）.xlsx,材料1,42,,材料1,25.0,63020.0,43311.21706,正弦波,wg-09957b7578aecc53,1,1,1,
training-c16aee712bc0-S01-R000043,training,data/附件一（训练集）.xlsx,材料1,43,,材料1,25.0,63020.0,56888.04649,正弦波,wg-f08a119c8766adbb,1,1,1,
training-c16aee712bc0-S01-R000044,training,data/附件一（训练集）.xlsx,材料1,44,,材料1,25.0,63020.0,73132.61212,正弦波,wg-e2cc5161bb641930,1,1,1,
training-c16aee712bc0-S01-R000045,training,data/附件一（训练集）.xlsx,材料1,45,,材料1,25.0,63020.0,96561.45489,正弦波,wg-870f3d6505156b32,1,1,1,
training-c16aee712bc0-S01-R000046,training,data/附件一（训练集）.xlsx,材料1,46,,材料1,25.0,63020.0,124836.8907,正弦波,wg-5d598b3d694f1fbe,1,1,1,
training-c16aee712bc0-S01-R000047,training,data/附件一（训练集）.xlsx,材料1,47,,材料1,25.0,63020.0,164156.6808,正弦波,wg-7e256234ae038f0d,1,1,1,
training-c16aee712bc0-S01-R000048,training,data/附件一（训练集）.xlsx,材料1,48,,材料1,25.0,63020.0,213181.9924,正弦波,wg-85f6a3096daa1f6f,1,1,1,
training-c16aee712bc0-S01-R000049,training,data/附件一（训练集）.xlsx,材料1,49,,材料1,25.0,63020.0,272698.8683,正弦波,wg-befb876c2b6a1f19,1,1,1,
training-c16aee712bc0-S01-R000050,training,data/附件一（训练集）.xlsx,材料1,50,,材料1,25.0,63020.0,345321.4402,正弦波,wg-5574316a1f5c9d5d,1,1,1,
training-c16aee712bc0-S01-R000051,training,data/附件一（训练集）.xlsx,材料1,51,,材料1,25.0,63030.0,450682.3276,正弦波,wg-d959afcae8165b89,1,1,1,
training-c16aee712bc0-S01-R000052,training,data/附件一（训练集）.xlsx,材料1,52,,材料1,25.0,63030.0,568872.0099,正弦波,wg-64231fd9c17b567b,1,1,1,
training-c16aee712bc0-S01-R000053,training,data/附件一（训练集）.xlsx,材料1,53,,材料1,25.0,70840.0,2225.097322,正弦波,wg-14e3dca0bca5a925,1,1,1,
training-c16aee712bc0-S01-R000054,training,data/附件一（训练集）.xlsx,材料1,54,,材料1,25.0,70840.0,3024.184603,正弦波,wg-8c74716a75f296e3,1,1,1,
training-c16aee712bc0-S01-R000055,training,data/附件一（训练集）.xlsx,材料1,55,,材料1,25.0,70840.0,4089.657062,正弦波,wg-823b44d073ffcf70,1,1,1,
training-c16aee712bc0-S01-R000056,training,data/附件一（训练集）.xlsx,材料1,56,,材料1,25.0,70840.0,5561.224672,正弦波,wg-abff56e3c7c9aa77,1,1,1,
training-c16aee712bc0-S01-R000057,training,data/附件一（训练集）.xlsx,材料1,57,,材料1,25.0,70840.0,7428.611375,正弦波,wg-993126623f4a20ef,1,1,1,
training-c16aee712bc0-S01-R000058,training,data/附件一（训练集）.xlsx,材料1,58,,材料1,25.0,70840.0,9781.334899,正弦波,wg-568004b1f6601227,1,1,1,
training-c16aee712bc0-S01-R000059,training,data/附件一（训练集）.xlsx,材料1,59,,材料1,25.0,70830.0,13030.14014,正弦波,wg-51c8bacc76fc7d0f,1,1,1,
training-c16aee712bc0-S01-R000060,training,data/附件一（训练集）.xlsx,材料1,60,,材料1,25.0,70840.0,17428.60715,正弦波,wg-924716fa1c7ee711,1,1,1,
training-c16aee712bc0-S01-R000061,training,data/附件一（训练集）.xlsx,材料1,61,,材料1,25.0,70840.0,38034.45168,正弦波,wg-c4cad92038f6ab75,1,1,1,
training-c16aee712bc0-S01-R000062,training,data/附件一（训练集）.xlsx,材料1,62,,材料1,25.0,70840.0,64866.78904,正弦波,wg-d3a18d3c8c6fabd1,1,1,1,
training-c16aee712bc0-S01-R000063,training,data/附件一（训练集）.xlsx,材料1,63,,材料1,25.0,70840.0,84929.72944,正弦波,wg-8d4ab79542d04144,1,1,1,
training-c16aee712bc0-S01-R000064,training,data/附件一（训练集）.xlsx,材料1,64,,材料1,25.0,70840.0,109923.077,正弦波,wg-46d6b9236007cbab,1,1,1,
training-c16aee712bc0-S01-R000065,training,data/附件一（训练集）.xlsx,材料1,65,,材料1,25.0,70840.0,144795.5963,正弦波,wg-74d8165ce6c48c0a,1,1,1,
training-c16aee712bc0-S01-R000066,training,data/附件一（训练集）.xlsx,材料1,66,,材料1,25.0,70840.0,398991.6659,正弦波,wg-e4fabe8c111dd187,1,1,1,
training-c16aee712bc0-S01-R000067,training,data/附件一（训练集）.xlsx,材料1,67,,材料1,25.0,70840.0,677349.1971,正弦波,wg-9930ef6e9d6ae5f2,1,1,1,
training-c16aee712bc0-S01-R000068,training,data/附件一（训练集）.xlsx,材料1,68,,材料1,25.0,79470.0,1351.668508,正弦波,wg-1dc2f4de743552fe,1,1,1,
training-c16aee712bc0-S01-R000069,training,data/附件一（训练集）.xlsx,材料1,69,,材料1,25.0,79460.0,2547.825849,正弦波,wg-ca6ee66758a27f8e,1,1,1,
training-c16aee712bc0-S01-R000070,training,data/附件一（训练集）.xlsx,材料1,70,,材料1,25.0,79460.0,3427.227242,正弦波,wg-2dc382c49ad09daf,1,1,1,
training-c16aee712bc0-S01-R000071,training,data/附件一（训练集）.xlsx,材料1,71,,材料1,25.0,79470.0,4655.897506,正弦波,wg-d06eed186bf6d03d,1,1,1,
training-c16aee712bc0-S01-R000072,training,data/附件一（训练集）.xlsx,材料1,72,,材料1,25.0,79460.0,6205.058112,正弦波,wg-fd2cf368bc63a71d,1,1,1,
training-c16aee712bc0-S01-R000073,training,data/附件一（训练集）.xlsx,材料1,73,,材料1,25.0,79460.0,8367.055189,正弦波,wg-cdab814fc5f21ebf,1,1,1,
training-c16aee712bc0-S01-R000074,training,data/附件一（训练集）.xlsx,材料1,74,,材料1,25.0,79470.0,11089.48772,正弦波,wg-10dcfc16f2551c3c,1,1,1,
training-c16aee712bc0-S01-R000075,training,data/附件一（训练集）.xlsx,材料1,75,,材料1,25.0,79470.0,14658.56285,正弦波,wg-88c0be5a943a0466,1,1,1,
training-c16aee712bc0-S01-R000076,training,data/附件一（训练集）.xlsx,材料1,76,,材料1,25.0,79470.0,19233.50271,正弦波,wg-2080043e1866fc1d,1,1,1,
training-c16aee712bc0-S01-R000077,training,data/附件一（训练集）.xlsx,材料1,77,,材料1,25.0,79460.0,32688.69228,正弦波,wg-c9d862a1a95bd538,1,1,1,
training-c16aee712bc0-S01-R000078,training,data/附件一（训练集）.xlsx,材料1,78,,材料1,25.0,79460.0,55945.83678,正弦波,wg-9acb9a2a2cd97554,1,1,1,
training-c16aee712bc0-S01-R000079,training,data/附件一（训练集）.xlsx,材料1,79,,材料1,25.0,79460.0,74362.24612,正弦波,wg-024fe2eeb9e8193b,1,1,1,
training-c16aee712bc0-S01-R000080,training,data/附件一（训练集）.xlsx,材料1,80,,材料1,25.0,79460.0,128576.4162,正弦波,wg-342ab8b0b9e81ed4,1,1,1,
training-c16aee712bc0-S01-R000081,training,data/附件一（训练集）.xlsx,材料1,81,,材料1,25.0,79460.0,166639.6736,正弦波,wg-6506ec04f5a4c15d,1,1,1,
training-c16aee712bc0-S01-R000082,training,data/附件一（训练集）.xlsx,材料1,82,,材料1,25.0,79470.0,218449.8965,正弦波,wg-7b92aa44e9c89d7d,1,1,1,
training-c16aee712bc0-S01-R000083,training,data/附件一（训练集）.xlsx,材料1,83,,材料1,25.0,79460.0,273541.545,正弦波,wg-3157efeff4af9862,1,1,1,
training-c16aee712bc0-S01-R000084,training,data/附件一（训练集）.xlsx,材料1,84,,材料1,25.0,79460.0,360199.2721,正弦波,wg-fdf8dfbf1e923e7a,1,1,1,
training-c16aee712bc0-S01-R000085,training,data/附件一（训练集）.xlsx,材料1,85,,材料1,25.0,79460.0,461810.5667,正弦波,wg-e34d7c104e60e889,1,1,1,
training-c16aee712bc0-S01-R000086,training,data/附件一（训练集）.xlsx,材料1,86,,材料1,25.0,79460.0,613904.3362,正弦波,wg-4735496f2163c66c,1,1,1,
training-c16aee712bc0-S01-R000087,training,data/附件一（训练集）.xlsx,材料1,87,,材料1,25.0,89080.0,1129.391913,正弦波,wg-f28480a6a7b85cea,1,1,1,
training-c16aee712bc0-S01-R000088,training,data/附件一（训练集）.xlsx,材料1,88,,材料1,25.0,89080.0,1532.851361,正弦波,wg-39b6a1761243bdf8,1,1,1,
training-c16aee712bc0-S01-R000089,training,data/附件一（训练集）.xlsx,材料1,89,,材料1,25.0,89080.0,2119.668152,正弦波,wg-4ee293a2624f605b,1,1,1,
training-c16aee712bc0-S01-R000090,training,data/附件一（训练集）.xlsx,材料1,90,,材料1,25.0,89090.0,5166.874084,正弦波,wg-e72f3985b26413ba,1,1,1,
training-c16aee712bc0-S01-R000091,training,data/附件一（训练集）.xlsx,材料1,91,,材料1,25.0,89080.0,7061.093869,正弦波,wg-26bf71e3d976c25c,1,1,1,
training-c16aee712bc0-S01-R000092,training,data/附件一（训练集）.xlsx,材料1,92,,材料1,25.0,89080.0,9430.12443,正弦波,wg-b346604239e6f2bf,1,1,1,
training-c16aee712bc0-S01-R000093,training,data/附件一（训练集）.xlsx,材料1,93,,材料1,25.0,89080.0,12766.46246,正弦波,wg-3656d5d7dd6c0a94,1,1,1,
training-c16aee712bc0-S01-R000094,training,data/附件一（训练集）.xlsx,材料1,94,,材料1,25.0,89090.0,21893.48022,正弦波,wg-aaad652834a46929,1,1,1,
training-c16aee712bc0-S01-R000095,training,data/附件一（训练集）.xlsx,材料1,95,,材料1,25.0,89080.0,28291.14184,正弦波,wg-4549fc732b4bdfcf,1,1,1,
training-c16aee712bc0-S01-R000096,training,data/附件一（训练集）.xlsx,材料1,96,,材料1,25.0,89090.0,49708.07326,正弦波,wg-19582916f1482bda,1,1,1,
training-c16aee712bc0-S01-R000097,training,data/附件一（训练集）.xlsx,材料1,97,,材料1,25.0,89080.0,65196.27638,正弦波,wg-aed6d29ffe026409,1,1,1,
training-c16aee712bc0-S01-R000098,training,data/附件一（训练集）.xlsx,材料1,98,,材料1,25.0,89080.0,85243.35886,正弦波,wg-122312bc4974cfca,1,1,1,
training-c16aee712bc0-S01-R000099,training,data/附件一（训练集）.xlsx,材料1,99,,材料1,25.0,89090.0,112150.6467,正弦波,wg-08312d2f91f406d0,1,1,1,
training-c16aee712bc0-S01-R000100,training,data/附件一（训练集）.xlsx,材料1,100,,材料1,25.0,89080.0,147631.7533,正弦波,wg-baaf85c2a4dce8ab,1,1,1,
training-c16aee712bc0-S01-R000101,training,data/附件一（训练集）.xlsx,材料1,101,,材料1,25.0,89090.0,193355.8322,正弦波,wg-c382047f96f9d5d4,1,1,1,
training-c16aee712bc0-S01-R000102,training,data/附件一（训练集）.xlsx,材料1,102,,材料1,25.0,89080.0,245886.8962,正弦波,wg-747faf53ff1e86d7,1,1,1,
training-c16aee712bc0-S01-R000103,training,data/附件一（训练集）.xlsx,材料1,103,,材料1,25.0,89090.0,321281.5746,正弦波,wg-d42fa0031bacb889,1,1,1,
training-c16aee712bc0-S01-R000104,training,data/附件一（训练集）.xlsx,材料1,104,,材料1,25.0,89090.0,415631.7819,正弦波,wg-3917782fb1db88ba,1,1,1,
training-c16aee712bc0-S01-R000105,training,data/附件一（训练集）.xlsx,材料1,105,,材料1,25.0,89090.0,542772.7158,正弦波,wg-9c6edbcb905c82ef,1,1,1,
training-c16aee712bc0-S01-R000106,training,data/附件一（训练集）.xlsx,材料1,106,,材料1,25.0,89080.0,711545.3171,正弦波,wg-cf92eec8c99f3776,1,1,1,
training-c16aee712bc0-S01-R000107,training,data/附件一（训练集）.xlsx,材料1,107,,材料1,25.0,89090.0,896343.4213,正弦波,wg-f6f895a760b282b6,1,1,1,
training-c16aee712bc0-S01-R000108,training,data/附件一（训练集）.xlsx,材料1,108,,材料1,25.0,99950.0,1299.233133,正弦波,wg-71529915e1bf8bad,1,1,1,
training-c16aee712bc0-S01-R000109,training,data/附件一（训练集）.xlsx,材料1,109,,材料1,25.0,99950.0,1755.831126,正弦波,wg-79a0e372dfc339fe,1,1,1,
training-c16aee712bc0-S01-R000110,training,data/附件一（训练集）.xlsx,材料1,110,,材料1,25.0,99950.0,2390.408185,正弦波,wg-428b2d16c7647982,1,1,1,
training-c16aee712bc0-S01-R000111,training,data/附件一（训练集）.xlsx,材料1,111,,材料1,25.0,99950.0,3242.978165,正弦波,wg-7c968fe9b13972c1,1,1,1,
training-c16aee712bc0-S01-R000112,training,data/附件一（训练集）.xlsx,材料1,112,,材料1,25.0,99960.0,5892.742949,正弦波,wg-05031c1d0dc6a127,1,1,1,
training-c16aee712bc0-S01-R000113,training,data/附件一（训练集）.xlsx,材料1,113,,材料1,25.0,99950.0,7874.71143,正弦波,wg-a422d21f30e5a40e,1,1,1,
training-c16aee712bc0-S01-R000114,training,data/附件一（训练集）.xlsx,材料1,114,,材料1,25.0,99950.0,10735.42591,正弦波,wg-4a0f61f1dec33cef,1,1,1,
training-c16aee712bc0-S01-R000115,training,data/附件一（训练集）.xlsx,材料1,115,,材料1,25.0,99950.0,14477.24774,正弦波,wg-c0976316fd552ed3,1,1,1,
training-c16aee712bc0-S01-R000116,training,data/附件一（训练集）.xlsx,材料1,116,,材料1,25.0,99950.0,18907.91771,正弦波,wg-8a62180a9736daee,1,1,1,
training-c16aee712bc0-S01-R000117,training,data/附件一（训练集）.xlsx,材料1,117,,材料1,25.0,99950.0,42837.66482,正弦波,wg-19dd9b6aa80991c7,1,1,1,
training-c16aee712bc0-S01-R000118,training,data/附件一（训练集）.xlsx,材料1,118,,材料1,25.0,99950.0,74230.01899,正弦波,wg-d08b6a8ff29a11da,1,1,1,
training-c16aee712bc0-S01-R000119,training,data/附件一（训练集）.xlsx,材料1,119,,材料1,25.0,99950.0,99316.153,正弦波,wg-3cf38dd3704fe4fa,1,1,1,
training-c16aee712bc0-S01-R000120,training,data/附件一（训练集）.xlsx,材料1,120,,材料1,25.0,99950.0,281919.8367,正弦波,wg-074c4bd32393bf6c,1,1,1,
training-c16aee712bc0-S01-R000121,training,data/附件一（训练集）.xlsx,材料1,121,,材料1,25.0,99950.0,371891.5855,正弦波,wg-8eb54b9ce0bd15e1,1,1,1,
training-c16aee712bc0-S01-R000122,training,data/附件一（训练集）.xlsx,材料1,122,,材料1,25.0,99950.0,486551.2281,正弦波,wg-9984ba00dfd23432,1,1,1,
training-c16aee712bc0-S01-R000123,training,data/附件一（训练集）.xlsx,材料1,123,,材料1,25.0,99950.0,642255.3272,正弦波,wg-3993929aa37830ac,1,1,1,
training-c16aee712bc0-S01-R000124,training,data/附件一（训练集）.xlsx,材料1,124,,材料1,25.0,99950.0,808495.9048,正弦波,wg-36302ac6b90b1fc1,1,1,1,
training-c16aee712bc0-S01-R000125,training,data/附件一（训练集）.xlsx,材料1,125,,材料1,25.0,99950.0,1026883.575,正弦波,wg-7121ae1947f36a44,1,1,1,
training-c16aee712bc0-S01-R000126,training,data/附件一（训练集）.xlsx,材料1,126,,材料1,25.0,112170.0,1114.703914,正弦波,wg-eeaccb15572fce5d,1,1,1,
training-c16aee712bc0-S01-R000127,training,data/附件一（训练集）.xlsx,材料1,127,,材料1,25.0,112160.0,1964.803519,正弦波,wg-a91c8c0affe18f13,1,1,1,
training-c16aee712bc0-S01-R000128,training,data/附件一（训练集）.xlsx,材料1,128,,材料1,25.0,112160.0,3628.229323,正弦波,wg-cda3ae1b7df38f22,1,1,1,
training-c16aee712bc0-S01-R000129,training,data/附件一（训练集）.xlsx,材料1,129,,材料1,25.0,112160.0,4949.221631,正弦波,wg-7c49bef0ce769814,1,1,1,
training-c16aee712bc0-S01-R000130,training,data/附件一（训练集）.xlsx,材料1,130,,材料1,25.0,112160.0,6603.373697,正弦波,wg-215d38e1f56bd797,1,1,1,
training-c16aee712bc0-S01-R000131,training,data/附件一（训练集）.xlsx,材料1,131,,材料1,25.0,112170.0,9111.892514,正弦波,wg-7d2df7440a937041,1,1,1,
training-c16aee712bc0-S01-R000132,training,data/附件一（训练集）.xlsx,材料1,132,,材料1,25.0,112160.0,21305.04772,正弦波,wg-bf5ddc424972f485,1,1,1,
training-c16aee712bc0-S01-R000133,training,data/附件一（训练集）.xlsx,材料1,133,,材料1,25.0,112160.0,28708.38837,正弦波,wg-7b974670ec24ef70,1,1,1,
training-c16aee712bc0-S01-R000134,training,data/附件一（训练集）.xlsx,材料1,134,,材料1,25.0,112160.0,36731.5784,正弦波,wg-73da62cc7a99b36d,1,1,1,
training-c16aee712bc0-S01-R000135,training,data/附件一（训练集）.xlsx,材料1,135,,材料1,25.0,112160.0,49122.63239,正弦波,wg-6abf5ada82514c16,1,1,1,
training-c16aee712bc0-S01-R000136,training,data/附件一（训练集）.xlsx,材料1,136,,材料1,25.0,112160.0,64903.79723,正弦波,wg-63f6dd8dc7740912,1,1,1,
training-c16aee712bc0-S01-R000137,training,data/附件一（训练集）.xlsx,材料1,137,,材料1,25.0,112160.0,114103.3322,正弦波,wg-092aee0a1cabeb73,1,1,1,
training-c16aee712bc0-S01-R000138,training,data/附件一（训练集）.xlsx,材料1,138,,材料1,25.0,112160.0,194634.2954,正弦波,wg-c0173174b99d54d2,1,1,1,
training-c16aee712bc0-S01-R000139,training,data/附件一（训练集）.xlsx,材料1,139,,材料1,25.0,112160.0,329555.1343,正弦波,wg-78428d52c2773184,1,1,1,
training-c16aee712bc0-S01-R000140,training,data/附件一（训练集）.xlsx,材料1,140,,材料1,25.0,112160.0,432205.1043,正弦波,wg-b083df8c667a6481,1,1,1,
training-c16aee712bc0-S01-R000141,training,data/附件一（训练集）.xlsx,材料1,141,,材料1,25.0,112160.0,579176.7738,正弦波,wg-3e3941f2adafad80,1,1,1,
training-c16aee712bc0-S01-R000142,training,data/附件一（训练集）.xlsx,材料1,142,,材料1,25.0,112160.0,737413.5818,正弦波,wg-f2dc2ce836544281,1,1,1,
training-c16aee712bc0-S01-R000143,training,data/附件一（训练集）.xlsx,材料1,143,,材料1,25.0,112160.0,1223675.078,正弦波,wg-53533a52ee880cd1,1,1,1,
training-c16aee712bc0-S01-R000144,training,data/附件一（训练集）.xlsx,材料1,144,,材料1,25.0,125860.0,1472.545902,正弦波,wg-d98b16c238d6a9a2,1,1,1,
training-c16aee712bc0-S01-R000145,training,data/附件一（训练集）.xlsx,材料1,145,,材料1,25.0,125850.0,2256.015194,正弦波,wg-c0a97808b192819a,1,1,1,
training-c16aee712bc0-S01-R000146,training,data/附件一（训练集）.xlsx,材料1,146,,材料1,25.0,125860.0,3084.707485,正弦波,wg-5f52e5d2b3edfa4f,1,1,1,
training-c16aee712bc0-S01-R000147,training,data/附件一（训练集）.xlsx,材料1,147,,材料1,25.0,125860.0,4200.974078,正弦波,wg-d7d7148e8f7a1271,1,1,1,
training-c16aee712bc0-S01-R000148,training,data/附件一（训练集）.xlsx,材料1,148,,材料1,25.0,125850.0,5525.178254,正弦波,wg-7a376423cf3e6545,1,1,1,
training-c16aee712bc0-S01-R000149,training,data/附件一（训练集）.xlsx,材料1,149,,材料1,25.0,125860.0,13775.45003,正弦波,wg-9e436a639b2ad82a,1,1,1,
training-c16aee712bc0-S01-R000150,training,data/附件一（训练集）.xlsx,材料1,150,,材料1,25.0,125850.0,18310.96022,正弦波,wg-46396309eb5f64fa,1,1,1,
training-c16aee712bc0-S01-R000151,training,data/附件一（训练集）.xlsx,材料1,151,,材料1,25.0,125860.0,24421.93184,正弦波,wg-1f281f71787c7dfc,1,1,1,
training-c16aee712bc0-S01-R000152,training,data/附件一（训练集）.xlsx,材料1,152,,材料1,25.0,125860.0,32684.68129,正弦波,wg-b56048bd6c4d9c10,1,1,1,
training-c16aee712bc0-S01-R000153,training,data/附件一（训练集）.xlsx,材料1,153,,材料1,25.0,125860.0,56884.91087,正弦波,wg-648b3e0ec99a5dd7,1,1,1,
training-c16aee712bc0-S01-R000154,training,data/附件一（训练集）.xlsx,材料1,154,,材料1,25.0,125850.0,76878.8708,正弦波,wg-ee6ad4712c5bbc29,1,1,1,
training-c16aee712bc0-S01-R000155,training,data/附件一（训练集）.xlsx,材料1,155,,材料1,25.0,125860.0,172790.731,正弦波,wg-271e44a21a614cf3,1,1,1,
training-c16aee712bc0-S01-R000156,training,data/附件一（训练集）.xlsx,材料1,156,,材料1,25.0,125860.0,516365.5506,正弦波,wg-b3e4b576cf72f27a,1,1,1,
